date,adj_close,close,high,low,open,volume,symbol,return_1,return_5,log_return_1,sma_ratio_20,sma_ratio_50,ema_ratio_20,rsi_14,macd,macd_signal,roc_5,roc_10,bb_width,bb_pct_b,atr_ratio,stoch_k,stoch_d,obv_change,vwap_ratio,future_return,target_direction
2015-03-16,0.5532482266426086,0.5742499828338623,0.577750027,0.5682500004768372,0.5720000267028809,236956000,NVDA,0.011894251,0.015922165,0.011824070722922693,0.022388366,0.089875557,0.028716475,0.6170367351315876,0.012340966,0.013143989240337748,1.5922164819687112,1.6371655322267544,0.053234996,0.9113478946630897,0.020396645443675514,0.7518795644644899,0.611322871,0.15421842946548514,-1,0.012189863815967872,1
2015-03-17,0.5599924325942993,0.581250012,0.5814999938011169,0.5690000057220459,0.5730000138282776,299900000,NVDA,0.012189863815967872,0.010869606906841245,0.012116165734627359,0.032851359,0.099904459,0.037181117884640624,0.6471865305879948,0.012697946774519409,0.013054780747174081,1.0869606906841256,4.824171129938559,0.060419034,1,0.020247746549499394,0.9624069180879173,0.7555083763957141,0.1691052252894356,-1,-0.016344132,0
2015-03-18,0.5508397221565247,0.5717499852180481,0.5842499732971191,0.5665000081062317,0.581250012,413844000,NVDA,-0.016344132,-0.000437135,-0.01647917,0.014280620497147067,0.078783732,0.018267499670350018,0.580403387,0.012075089467622924,0.012858842,-0.043713544,1.9616544697264746,0.060745864437729516,0.7317780121440758,0.021331377,0.6428571428571429,0.7857145418031836,-0.199601418,-1,0.015303929486478518,1
2015-03-19,0.5592698454856873,0.5805000066757202,0.5824999809265137,0.5695000290870667,0.5737500190734863,310756000,NVDA,0.015303929486478518,0.024261167943964157,0.015188005588877696,0.027433639050127523,0.091144914,0.030528668023476646,0.6193632223579874,0.012147495,0.012716573073742393,2.4261167943964166,1.5748037244611306,0.063158435,0.9227642741153547,0.021108741054040512,0.8928579943528803,0.8327073517659803,0.18725791017578697,-1,0.010766518803339897,1
2015-03-20,0.565291166,0.5867499709129333,0.5902500152587891,0.5797500014305115,0.5852500200271606,462084000,NVDA,0.010766518803339897,0.033920662,0.010708972520051157,0.03590576,0.098422747,0.037510996,0.6447371681123824,0.012564363,0.012686131129147791,3.392066227850441,4.079812174804475,0.069718217,0.9971616340152721,0.020670416755966644,0.9124989382928345,0.8160713585009526,0.23452897682747076,-1,-0.032381755,0
2015-03-23,0.5469857454299927,0.5677499771118164,0.5767499804496765,0.5674999952316284,0.5692499876022339,426012000,NVDA,-0.032381755,-0.011319122,-0.032917644,0.001146147,0.060026096128721784,0.003540433,0.5292358098054372,0.011232116643138723,0.012395328231945977,-1.131912219,0.44228177027857646,0.069057033,0.5165781002710862,0.022258130012928295,0.4374993480745475,0.7476187602400874,-0.175144346,-1,-0.01365033,0
2015-03-24,0.5395193696022034,0.5600000023841858,0.5699999928474426,0.5575000047683716,0.5659999847412109,330480000,NVDA,-0.01365033,-0.036559155,-0.013744353,-0.012715686,0.043160781,-0.009199676,0.4906269237424636,0.009442101,0.011804682721281594,-3.655915544,-2.608693218,0.069294392,0.31413421209076114,0.022548683,0.1167884863039922,0.4889289242237915,-0.164718173,-1,-0.060714249,0
2015-03-25,0.5067629814147949,0.5260000228881836,0.5597500205039978,0.5242499709129333,0.5597500205039978,542552000,NVDA,-0.060714249,-0.080017426,-0.062635532,-0.070404448,-0.021404411,-0.063167337,0.3648684165440712,0.005219815,0.010487709207995617,-8.001742634,-8.041958333,0.099622683,0,0.027146175,0.026515921202712553,0.19360125186041746,-0.323746193,-1,-0.003327095,0
2015-03-26,0.5050771832466125,0.5242499709129333,0.5264999866485596,0.5115000009536743,0.515250027,311920000,NVDA,-0.003327095,-0.096899285,-0.003332642,-0.070972935,-0.025847387,-0.060352473,0.35975687292154773,0.001712666,0.008732701,-9.68992853,-7.498900719,0.1215959922097134,0,0.027335043470763085,0.16190435102474557,0.10173625284381682,-0.275230653,-1,0.019551802607141955,1
2015-03-27,0.5149518847465515,0.534500003,0.5364999771118164,0.518750012,0.5272499918937683,318288000,NVDA,0.019551802607141955,-0.089049801,0.019363122,-0.051379881,-0.008311993,-0.038134981,0.4117379844000129,-0.000236951,0.00693877,-8.904980084,-5.814976678,0.1277341462043125,0.075972763,0.027267821565757112,0.2920634632298067,0.16016124515242167,0.38750207,-1,0.004209571,1
2015-03-30,0.5171197056770325,0.5367500185966492,0.5394999980926514,0.5299999713897705,0.5370000004768372,253252000,NVDA,0.004209571,-0.054601426,0.004200736,-0.044992513,-0.005862001,-0.030940102,0.42281594912799897,-0.00158224,0.005234568,-5.460142627,-6.530250824,0.13468330649024862,0.15020008474724664,0.026478206,0.32063508642861144,0.25820096689438793,0.2222148126829473,-1,-0.025151438,0
