date,open,high,low,close,volume,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_pct_b,roc_5,roc_10,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,z_score_20,future_return,target_direction
2015-01-02,0.503250003,0.5070000290870667,0.4952499866485595,0.503250003,113680000,,,,,,,,,0.503250003,0.503250003,0.503250003,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.503250003,0.0,,-0.01689023321106431,0
2015-01-05,0.503250003,0.5047500133514404,0.4925000071525574,0.4947499930858612,197952000,-0.01689023321106431,,-0.017034499973492986,,,,,,0.5019423091670555,0.5024404782462725,0.5026203726359897,-0.015306261126202036,,-0.0006780634689341758,-0.00013561269378683515,-0.0005424507751473406,,,,,,,,,,,-197952000.0,,0.4978507052304398,-0.006228196750556636,,-0.030318314107145694,0
2015-01-06,0.4954999983310699,0.4959999918937683,0.4792500138282776,0.4797500073909759,197764000,-0.030318314107145694,,-0.030787420213960217,,,,,,0.4985281088938125,0.5002794810219585,0.5009262715067294,-0.04103600969011467,,-0.002398162612916921,-0.0005881226776128523,-0.0018100399353040686,,,,,,,,,,,-395716000.0,0.9990502748140964,0.4908234289904934,-0.022560906724222396,,-0.002605521185304327,0
2015-01-07,0.4832499921321869,0.4875000119209289,0.4769999980926513,0.4785000085830688,321808000,-0.002605521185304327,,-0.0026089214632428726,,,,,,0.49544686269215965,0.49820524555158807,0.49926506684571753,-0.039552447800308976,,-0.0038182041535578803,-0.001234138972801858,-0.002584065180756022,,,,,,,,,,,-717524000.0,0.8132296899796825,0.48605230749147216,-0.0155380373511258,,0.03761750585271528,1
2015-01-08,0.4839999973773956,0.4995000064373016,0.4837499856948852,0.4964999854564667,283780000,0.03761750585271528,,0.036927225362658835,,,,,,0.49560888157897615,0.4980428398282432,0.4990602460020693,-0.0030978346607866136,,-0.0034513644230931284,-0.0016775840628601123,-0.0017737803602330161,,,,,,,,,,,-433744000.0,-0.39549896588824907,0.48871139681733344,0.015936989990115613,,0.0040282056630416285,1
2015-01-09,0.4982500076293945,0.5022500157356262,0.4914999902248382,0.4984999895095825,209540000,0.0040282056630416285,-0.009438675533236851,0.004020114164810475,,,,,,0.49605366741445406,0.49808637789313265,0.49901874552114434,0.0008304013817832523,,-0.0029650781066902776,-0.0019350828716261455,-0.0010299952350641321,,,,,-0.009438675533236851,,,,,,-224204000.0,-0.4830960197720314,0.49025995442197773,0.016807481445878736,,-0.012537602088479871,0
2015-01-12,0.4997499883174896,0.5,0.4877499938011169,0.492249995,190732000,-0.012537602088479871,-0.005053053301260713,-0.012616860996131426,,,,,,0.4954684870429996,0.4975305319033105,0.49851735659365215,-0.010613493172187294,,-0.003048869550652533,-0.002157840207431423,-0.0008910293432211102,,,,,-0.005053053301260713,,,,,,-414936000.0,0.8507073914827568,0.49051044966471385,0.003546398117461491,,-0.0015236257649160478,0
2015-01-13,0.4959999918937683,0.5059999823570251,0.4880000054836273,0.4914999902248382,236720000,-0.0015236257649160478,0.02449188671775593,-0.0015247876630003479,,,,,,0.49485794907097475,0.4969561946005988,0.49799755167744375,-0.010979246128817732,,-0.0031396026064690052,-0.0023541926872389395,-0.0007854099192300657,,,,,0.02449188671775593,,,,,,-651656000.0,0.5704976189099042,0.49064415243312653,0.001744314667702751,,0.004069184319212216,1
2015-01-14,0.4862500131130218,0.4950000047683716,0.4850000143051147,0.4934999942779541,155260000,0.004069184319212216,0.03134793192439678,0.004060927579917437,,,,,,0.49464903294897156,0.4966270326651088,0.4976643992774815,-0.00629655290887754,,-0.0030153663285099608,-0.002486427415493144,-0.0005289389130168167,,,,,0.03134793192439678,,,,,,-496396000.0,-0.23825453920473383,0.4908766344148152,0.005344234537189241,,-0.007092167744260802,0
2015-01-15,0.4970000088214874,0.5,0.4897499978542328,0.4900000095367431,188932000,-0.007092167744260802,-0.013091593373860233,-0.007117436711298555,,,,,,0.4939337985778595,0.4959958876052645,0.49709666670409347,-0.012088564075541597,,-0.003162868126233953,-0.0026217155576413057,-0.0005411525685926474,,,,,-0.013091593373860233,,,,,,-685328000.0,0.3806074182708967,0.49079762238359254,-0.0016251359225738504,,0.018367353393255792,1
